"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"embroidery font",2475,46800,"64","81"
"embroidery fonts",3928,46786,"54","28"
"font bundle",7329,32217,"32","1"
"kpop demon hunters",26982,45218,"11","1"
