"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"werewolf",3283,21661,"41","32"
"supernatural",4191,24907,"39","1"
"twilight",3849,36687,"49","1"
"cryptid",2467,42764,"62","3"
"car magnets",2293,47528,"66","1"
