"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"anniversary present",233,101857,"100","1"
"friend birthday gift",238,392011,"100","1"
"stress relief gifts",201,36746,"100","2"
"teacher candle",196,20140,"100","2"
"relaxation gifts",195,115388,"100","1"
"appreciation gift",201,731390,"100","1"
"funny mothers day",194,264476,"100","1"
"hand made candle",188,13309,"92","1"
"stress relief gift",207,39014,"100","1"
"bridesmaid candle",158,11328,"93","4"
"african american",150,179733,"100","1"
"valentine candle",169,33973,"100","1"
"farmhouse kitchen",177,748055,"100","1"
"mindfulness gift",135,113051,"100","3"
"9 oz candle",142,76513,"100","3"
"musician gifts",106,88033,"100","3"
"encouragement gift",105,84696,"100","1"
"expresso martini",139,990,"43","1"
"romantic gift",112,254327,"100","1"
"sister wedding gift",146,41930,"100","1"
"engagement candle",143,10738,"94","1"
"bestie candle",127,10104,"95","1"
"floral candle",90,54507,"100","4"
"birthday christmas",103,2795741,"100","3"
"soy candle gifts",87,277743,"100","3"
"unique candle",90,81871,"100","2"
"orange blossom",90,14641,"100","1"
"candle custom",81,94935,"100","1"
"natural candle",101,71616,"100","1"
"romantasy gift",101,26484,"100","1"
"be my valentine",96,100807,"100","1"
"funny valentines",94,170063,"100","1"
"galentines gift",103,38517,"100","1"
"horror gift",63,232482,"100","1"
"july birthday",97,54647,"100","1"
"muscle mommy",93,3276,"77","1"
"minimalist gift",93,1822525,"100","1"
"superhero gifts",87,58759,"100","1"
"soy wax candle",23,157405,"100","12"
"funny candle gift",48,124241,"100","9"
"scented candle",54,275667,"100","6"
"scented soy candle",48,197402,"100","5"
"birthday gift sister",31,205954,"100","3"
"luxury candle",23,24178,"100","1"
"gift from daughter",44,101668,"100","1"
"mini candle",22,16647,"100","1"
"candle favor",45,34787,"100","1"
"40th birthday party",23,62533,"100","1"
"violet sorrengail",50,8330,"100","1"
"birthday gift custom",44,1204136,"100","1"
"wedding party gift",26,817160,"100","1"
"wedding thank you",48,99091,"100","1"
"football fan gift",21,158125,"100","1"
"smells like",46,41932,"100","1"
"birthday decoration",36,574796,"100","1"
"novelty candle",45,9722,"100","1"
"friend candle",44,59102,"100","1"
"birthday candle",15,156668,"100","9"
"best friend candle",9,30193,"100","9"
"funny birthday gift",8,865533,"100","6"
"custom name candle",1,10673,"100","5"
"milestone birthday",3,104300,"100","4"
"housewarming candle",2,87885,"100","4"
"unique gift idea",2,517251,"100","4"
"love candle",13,45258,"100","4"
"personalized holiday",1,466828,"100","4"
"gift candle",3,537057,"100","3"
"best friends candle",1,4071,"100","3"
"anniversary candle",6,34062,"100","3"
"quote candle",19,12002,"100","3"
"50th birthday candle",8,2366,"100","3"
"sister candle",16,16127,"100","3"
"funny sister gift",4,77305,"100","3"
"step sister gift",3,3036,"100","3"
"beautiful candle",2,6368,"100","3"
"thank you candle",5,25342,"100","3"
"friend candle gift",1,58272,"100","3"
"christmas soy candle",3,80704,"100","3"
"soy candle gift",1,290661,"100","3"
"9oz soy candle",1,68216,"100","3"
"self love gifts",3,102154,"100","3"
"fun candle",2,16222,"100","3"
"funny birthday",9,1012000,"100","2"
"special candle",1,5667,"100","2"
"best girlfriend gift",3,69974,"100","2"
"travel candle",4,9147,"100","2"
"besties gift",3,45114,"100","2"
"hand poured candle",1,57350,"100","2"
"valentines candle",2,33710,"100","2"
"galentines candle",2,1631,"100","2"
"party favor candle",5,22502,"100","2"
"best friend present",2,31858,"100","2"
"birthday gift idea",1,603221,"100","2"
"selfcare gift",2,49732,"100","2"
"yoga lover",4,35180,"100","2"
"romantic candle",1,17159,"100","2"
"aesthetic candle",5,16406,"100","2"
"empowerment gifts",1,109809,"100","2"
"rugby gift",3,5412,"100","2"
"custom funny",3,489107,"100","2"
"rugby player",18,2837,"100","2"
"rugby mom",5,1376,"100","2"
"friend sister",3,151025,"100","2"
"rugby ornament",3,297,"100","2"
"february birthday",3,21718,"100","2"
"sarcastic candle",3,14862,"100","2"
"best friend birthday",10,197526,"100","2"
"family xmas gift",1,361530,"100","2"
"new sister in law",1,2660,"100","2"
"funny xmas gift",2,337169,"100","2"
"intention candle",1,10232,"100","2"
"cozy home",9,809813,"100","1"
"cute candle",18,34795,"100","1"
"humorous candle",2,6838,"100","1"
"gag gift candle",2,17587,"100","1"
"prosecco gifts",1,3685,"100","1"
"galentine candle",1,3145,"100","1"
"witty candle",1,2390,"100","1"
"birthday present",7,438597,"100","1"
"snarky gift",3,55780,"100","1"
"planning a trip",1,8922,"100","1"
"funny 50th candle",2,1400,"100","1"
"50 year old gift",2,3619,"100","1"
"over the hill gift",3,7025,"100","1"
"fifty birthday gift",1,9650,"100","1"
"woman turning 50",1,2954,"100","1"
"designer candle",1,2570,"100","1"
"lavender candle",15,22034,"100","1"
"orchid candle",5,4545,"100","1"
"unscented candle",2,36229,"100","1"
"funny mom candle",7,20566,"100","1"
"gift from son",1,55014,"100","1"
"mum gift",1,3454239,"100","1"
"author gift",6,29072,"100","1"
"literary gift",3,150900,"100","1"
"creative gift idea",1,55061,"100","1"
"bookish birthday",2,30343,"100","1"
"journal lover gift",1,57170,"100","1"
"black owned shop",2,24837,"100","1"
"woman candle",2,33237,"100","1"
"black christmas gift",1,803714,"100","1"
"candle graduation",5,18554,"100","1"
"speech therapist",8,31623,"100","1"
"speech language",1,29436,"100","1"
"love always wins",2,1207,"100","1"
"love wins",3,12940,"100","1"
"mom birthday candle",3,25165,"100","1"
"meaningful mom gift",4,10375,"100","1"
"artisan candle",9,7142,"100","1"
"just because gift",5,18508,"100","1"
"sending warm hugs",1,279,"100","1"
"missing you",2,9144,"100","1"
"unique birthday",3,647624,"100","1"
"birthday girl gift",2,1179958,"100","1"
"strawberry candle",3,5180,"100","1"
"cottagecore gift",5,334873,"100","1"
"decor personalized",10,1835362,"100","1"
"decorative candle",8,35188,"100","1"
"badass bitch candle",1,158,"100","1"
"funny 50th gift",1,11888,"100","1"
"martini lover",1,14991,"100","1"
"cocktail candle",4,2601,"100","1"
"birthday candle gift",1,132606,"100","1"
"coconut candle",14,60959,"100","1"
"virgo candle",2,1304,"100","1"
"astrology gift",7,143988,"100","1"
"zodiac candle",7,10585,"100","1"
"virgo season",10,1606,"100","1"
"spa candle",1,20505,"100","1"
"naughty candle",1,2666,"100","1"
"thank you message",2,8641,"100","1"
"employee gift",8,72555,"100","1"
"bridesmaid thank you",3,12984,"100","1"
"thank you teacher",8,117390,"100","1"
"christmas pregnancy",1,80270,"100","1"
"xaden candle",8,415,"86","1"
"dragon candle",3,5628,"100","1"
"reader gift",9,357446,"100","1"
"dragon lover",2,47254,"100","1"
"teddy bear candle",5,1565,"100","1"
"tulip candle",8,2526,"100","1"
"heart candle",6,17595,"100","1"
"birthday gift women",7,2014198,"100","1"
"eco friendly gifts",9,362705,"100","1"
"unique candle gifts",1,71869,"100","1"
"i love you gifts",6,109886,"100","1"
"cancer patient",1,10518,"100","1"
"funny cancer gift",13,12253,"100","1"
"uplifting gift",3,48884,"100","1"
"mom candle gift",1,53090,"100","1"
"sister gift funny",3,77153,"100","1"
"sentimental gift",11,65908,"100","1"
"funny valentine gift",3,211625,"100","1"
"custom text gift",2,121845,"100","1"
"spooky candle",3,23105,"100","1"
"bitch gift",2,35109,"100","1"
"bitch gifts",2,39066,"100","1"
"lemon scented candle",2,3443,"100","1"
"lemon kitchen decor",9,29613,"100","1"
"kitchen decor gift",1,1790808,"100","1"
"cottagecore candle",2,9026,"100","1"
"july birthday gift",3,31770,"100","1"
"leo birthday gift",3,13012,"100","1"
"virgo birthday gift",1,10602,"100","1"
"august birthday gift",6,12426,"100","1"
"vanilla soy candle",3,23771,"100","1"
"granny core decor",1,2780,"100","1"
"vintage label",2,173493,"100","1"
"sister of the bride",8,11050,"100","1"
"meditation candle",3,21382,"100","1"
"yoga teacher gift",8,11553,"100","1"
"yoga studio decor",9,15429,"100","1"
"menopause candle",1,163,"100","1"
"hot flash",1,2882,"100","1"
"teacher gift idea",3,123997,"100","1"
"end of year gift",3,76179,"100","1"
"custom soy candle",3,48604,"100","1"
"teacher leaving",2,4425,"100","1"
"self care candle",3,29342,"100","1"
"mindfulness candle",5,6724,"100","1"
"christmas gift idea",3,685907,"100","1"
"funny gaming gift",1,23186,"100","1"
"alan wake 2",13,213,"61","1"
"candle boyfriend",1,17208,"100","1"
"manifest candle",1,3999,"100","1"
"finance gift",3,13476,"100","1"
"friendship presents",2,3886,"100","1"
"gym motivation",4,57884,"100","1"
"lifting weights",2,18464,"100","1"
"fitness motivation",1,58870,"100","1"
"personal trainer",6,8828,"100","1"
"running gift",8,57825,"100","1"
"cheap gift",3,62417,"100","1"
"true crime gift",4,17012,"100","1"
"true crime podcast",1,4603,"100","1"
"detective gift",3,9428,"100","1"
"podcast lover",1,2422,"100","1"
"friendship candle",6,10033,"100","1"
"id shank a bitch",1,310,"100","1"
"21st birthday candle",6,1339,"100","1"
"18th birthday candle",2,616,"100","1"
"30th birthday candle",1,3038,"100","1"
"millennial gift",3,24242,"100","1"
"august birthday",2,16838,"100","1"
"candle gifts",8,516844,"100","1"
"new house candle",1,4848,"100","1"
"gifts under 30",2,33079,"100","1"
