"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"font bundle",7329,32217,"32","51"
"embroidery font",2475,46800,"64","12"
"embroidery fonts",3928,46786,"54","7"
"procreate brushes",3785,46772,"55","1"
"procreate stamps",2168,39863,"63","1"
