"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"tarot deck",10476,29067,"22","43"
"deck box",4887,13823,"23","1"
"tarot card deck",2165,24532,"53","20"
"tarot decks",2111,28312,"56","7"
"pendulum",3163,17504,"37","1"
"oracle cards",2164,27934,"56","12"
