"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"do it yourself",5066,44548,"47","6"
"macrame wall hanging",4571,20372,"32","3"
"paint by number",2764,23154,"46","2"
"paint by numbers",2481,15651,"40","3"
"diamond painting",2350,38138,"61","1"
