"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"spooky dst",86,603,"42","1"
"snarky cross stitch",853,10839,"55","1"
"witch hat",6017,79330,"56","3"
"spooky embroidery design puff",1,"-","","0"
"halloween spooky embroidery design",1,"-","","0"
"feeling spooky embroidery design",1,"-","","0"
"spooky dst file",1,"-","","1"
"machine pes",1,"-","","1"
