"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"car magnets",2293,47528,"66","17"
"car magnet",2475,46559,"64","40"
"fuck ice",3438,11800,"27","1"
"werewolf",3283,21661,"41","1"
"noah kahan",3194,606,"1","1"
"custom magnet",2542,45589,"63","2"
"showgirl",2440,30294,"55","1"
"bumper magnet",2133,23982,"53","11"
"custom photo magnet",2099,10208,"34","1"
