"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"minecraft",13347,16768,"5","1"
"mystery box",7343,17279,"19","1"
"paint by number",2764,23154,"46","20"
"paint by numbers",2481,15651,"40","83"
"haunted mansion",1738,29186,"61","1"
