"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"gilmore girls",3134,13127,"31","1"
"pikachu",3114,31081,"50","1"
"embroidery fonts",3928,46786,"54","4"
"embroidery font",2475,46800,"64","6"
