"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"porsche poster",1846,8230,"32","0"
"f1 poster",1763,9074,"36","0"
"la la land poster",1588,250,"1","0"
"seating chart",3953,31624,"45","1"
"masculine wall art",1710,17083,"50","2"
"bachelorette banner",1674,27312,"61","1"
"jw",1510,33561,"67","3"
