"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"lord of the rings",11469,32651,"23","1"
"book nook",6687,48228,"43","2"
"goblincore",2992,42728,"58","1"
"weirdcore",2876,31687,"52","1"
"kindle cover",2847,33253,"53","1"
"textile wall art",2016,43213,"67","4"
