"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"do it yourself",5066,44548,"47","65"
"hello kitty",8558,38321,"33","1"
"axolotl",5485,26556,"34","1"
"custom matchbooks",4038,5824,"8","1"
"cat earrings",2626,36480,"57","1"
