Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net,"Tax Details",Status,"Availability Date"
"May 1, 2026",Payment,"Card Payment","MasterCard ending in 3621",USD,--,$0.60,$0.60,--
