"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"paint by numbers",2481,15651,"40","84"
"paint by number",2764,23154,"46","21"
"minecraft",13347,16768,"5","1"
"mystery box",7343,17279,"19","1"
"procreate brushes",3785,46772,"55","2"
