"Keywords","Average Searches","Competition","KD","Tag Occurrences"
"care package",2440,47244,"64","13"
"advent calendar",8347,33071,"30","1"
"initial necklace",7836,81295,"51","1"
"boo basket",3480,16100,"33","1"
"corporate gifts",3134,54978,"62","4"
"shower steamers",2341,3061,"6","1"
"client gifts",2212,28667,"56","1"
"affirmation cards",1988,56213,"73","1"
"letter necklace",1695,49088,"73","1"
"hug in a box",1601,4883,"24","1"
