Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net,"Tax Details",Status,"Availability Date"
"July 30, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Jul 29, 2026",USD,--,-$0.04,-$0.04,--
"July 29, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Jul 28, 2026",USD,--,-$0.08,-$0.08,--
"July 27, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Jul 26, 2026",USD,--,-$0.08,-$0.08,--
"July 24, 2026",Tax,"Tax: Transaction","Order #4124700444",USD,--,-$0.01,-$0.01,--
"July 24, 2026",Fee,"Transaction fee: Digital leaf mandala embroidery pattern ...","Order #4124700444",USD,--,-$0.16,-$0.16,--
"July 24, 2026",Fee,"Processing fee","Order #4124700444",USD,--,-$0.32,-$0.32,--
"July 24, 2026",Sale,"Payment for Order #4124700444",,USD,$2.49,--,$2.49,--
"July 24, 2026",Fee,"Listing fee","Listing #4415035303",USD,--,-$0.20,-$0.20,--
"July 24, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Jul 23, 2026",USD,--,-$0.12,-$0.12,--
"July 21, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Jul 20, 2026",USD,--,-$0.42,-$0.42,--
"July 20, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Jul 19, 2026",USD,--,-$0.14,-$0.14,--
"July 18, 2026",Marketing,"Etsy Ads","Bill for click-throughs to your shop on Jul 17, 2026",USD,--,-$0.20,-$0.20,--
"July 6, 2026",Fee,"Listing fee","Listing #4466795015",USD,--,-$0.20,-$0.20,--
"July 6, 2026",Fee,"Listing fee","Listing #4466799018",USD,--,-$0.20,-$0.20,--
"July 6, 2026",Fee,"Listing fee","Listing #4466793009",USD,--,-$0.20,-$0.20,--
"July 6, 2026",Fee,"Listing fee","Listing #4466797252",USD,--,-$0.20,-$0.20,--
"July 6, 2026",Fee,"Listing fee","Listing #4466791377",USD,--,-$0.20,-$0.20,--
"July 6, 2026",Fee,"Listing fee","Listing #4466795496",USD,--,-$0.20,-$0.20,--
"July 6, 2026",Fee,"Listing fee","Listing #4466789627",USD,--,-$0.20,-$0.20,--
"July 6, 2026",Fee,"Listing fee","Listing #4466082116",USD,--,-$0.20,-$0.20,--
"July 5, 2026",Fee,"Listing fee","Listing #4466076995",USD,--,-$0.20,-$0.20,--
"July 5, 2026",Fee,"Listing fee","Listing #4466080258",USD,--,-$0.20,-$0.20,--
"July 5, 2026",Fee,"Listing fee","Listing #4466078772",USD,--,-$0.20,-$0.20,--
"July 5, 2026",Fee,"Listing fee","Listing #4465357735",USD,--,-$0.20,-$0.20,--
"July 4, 2026",Fee,"Listing fee","Listing #4465356349",USD,--,-$0.20,-$0.20,--
"July 3, 2026",Fee,"Listing fee","Listing #4465359686",USD,--,-$0.20,-$0.20,--
"July 1, 2026",Payment,"Card Payment","MasterCard ending in 3621",USD,--,$0.20,$0.20,--
